"Conceito","MacroCategoria","Categoria","Subcategoria","Modulo_Curso","Prerequisito","Conhecimento_Atual","Objetivo","Data_Estudo","Tempo_Investido_hrs","Fonte_Estudo","Regras_Operacionais","Probabilidade","Mercado_Aplicavel","Notas"
"Posição no Topo TR","Contexto","Posição TR","Zonas","12-18","TR","0","10","","","Livro/Video/Arvore","","","Universal","Perto resistência - viés venda"
"Posição no Meio TR","Contexto","Posição TR","Zonas","12-18","TR","0","10","","","Livro/Video/Arvore","","","Universal","Zona neutra 50/50 - NÃO opere"
"Posição no Fundo TR","Contexto","Posição TR","Zonas","12-18","TR","0","10","","","Livro/Video/Arvore","","","Universal","Perto suporte - viés compra"
"Metade Superior TR","Contexto","Posição TR","Zonas","12-18","TR","0","10","","","Livro/Video/Arvore","","","Universal","Viés venda mas aguarde topo"
"Metade Inferior TR","Contexto","Posição TR","Zonas","12-18","TR","0","10","","","Livro/Video/Arvore","","","Universal","Viés compra mas aguarde fundo"
"TR Contém Setups Ambos Lados","Contexto","Características TR","Natureza","12-18","TR","0","10","","","Livro/Video/Arvore","","","Universal","Buy e sell signals presentes simultaneamente"
"Pernas na TR (não tendência)","Contexto","Características TR","Natureza","12-18","TR","0","10","","","Livro/Video/Arvore","","","Universal","Movimentos dentro range - não contar como legs"
"Platôs","Contexto","Características TR","Padrões","12-18","TR","0","10","","","Livro/Video/Arvore","","","Universal","Consolidações horizontais dentro da TR"
"Efeito Vácuo","Contexto","Comportamento TR","Fenômeno","12-18","TR","0","10","","","Livro/Video/Arvore","","","Universal","Preço atraído para S/R forte - não entre durante"
"Lógica Perversa da TR","Contexto","Comportamento TR","Psicologia","12-18","TR","0","10","","","Livro/Video/Arvore","","","Universal","Faz o oposto do esperado - apostadores em tendência perdem"
"Não Aposte NO Rompimento de TR","Contexto","Comportamento TR","Regra","12-18","Regra dos 80%","0","10","","","Livro/Video/Arvore","80%","Universal","Universal","80% dos BOs de TR falham"
"Aposte CONTRA Rompimento de TR","Contexto","Comportamento TR","Regra","12-18","Regra dos 80%","0","10","","","Livro/Video/Arvore","80%","Universal","Universal","Fade o breakout - estratégia vencedora na TR"
"Sinais Antecipados de TR","Contexto","Lateralidade","Diagnóstico","12-18","TR Fraca","0","10","","","Livro/Video/Arvore","","","Universal","Identificar cedo para ajustar estratégia"
"Toda TR É Bandeira Potencial","Contexto","Lateralidade","Perspectiva","12-18","TR","0","10","","","Livro/Video/Arvore","","","Universal","Pode continuar tendência anterior"
"TR Eventualmente Rompe","Contexto","Lateralidade","Certeza","12-18","TR","0","10","","","Livro/Video/Arvore","","","Universal","Questão de quando - posicione para o BO"
"Definição Rompimento (BO)","Contexto","Rompimentos","Framework","12-18","Nenhum","0","10","","","Livro/Video/Arvore","","","Universal","Breakout - preço sai da estrutura atual"
"Rompimento de Alta","Contexto","Tipos BO","Direção","12-18","Definição BO","0","10","","","Livro/Video/Arvore","","","Universal","Bullish breakout"
"Rompimento de Baixa","Contexto","Tipos BO","Direção","12-18","Definição BO","0","10","","","Livro/Video/Arvore","","","Universal","Bearish breakout"
"BO Forte - Com Gap de Corpo","Contexto","Qualidade BO Forte","Identificação","12-18","Definição BO e Gap","0","10","","","Livro/Video/Arvore","60-70%","Universal","Universal","Gap entre corpos = força máxima"
"BO Forte - Grande Barra","Contexto","Qualidade BO Forte","Identificação","12-18","Definição BO","0","10","","","Livro/Video/Arvore","60-70%","Universal","Universal","Barra impulso 2x+ média = força"
"BO Forte - Follow-Through","Contexto","Qualidade BO Forte","Identificação","12-18","Definição BO","0","10","","","Livro/Video/Arvore","60-70%","Universal","Universal","Continuidade imediata após BO"
"BO Forte - Sem Retração em 3 Barras","Contexto","Qualidade BO Forte","Identificação","12-18","Definição BO","0","10","","","Livro/Video/Arvore","60-70%","Universal","Universal","Não volta nas 3 barras seguintes"
"BO Forte - Segunda Perna Provável","Contexto","Qualidade BO Forte","Consequência","12-18","BO Forte","0","10","","","Livro/Video/Arvore","","","Universal","Leg 1 = Leg 2 após correção mínima"
"BO Fraco - Características","Contexto","Qualidade BO Fraco","Identificação","12-18","Definição BO","0","10","","","Livro/Video/Arvore","80%","Universal","Universal","Pavios grandes/sem gap/pequeno/sem follow - 80% falha"
"Resultado BO - Sucesso (20%)","Contexto","Resultado BO","Estatística","12-18","Definição BO","0","10","","","Livro/Video/Arvore","20%","Universal","Universal","Inicia nova tendência - raro"
"Resultado BO - Falha (80%)","Contexto","Resultado BO","Estatística","12-18","Regra dos 80%","0","10","","","Livro/Video/Arvore","80%","Universal","Universal","Maioria falha - apostem contra"
"Reversão É Rompimento","Contexto","Rompimentos","Perspectiva","12-18","Definição BO","0","10","","","Livro/Video/Arvore","","","Universal","BO da tendência anterior em sentido oposto"
"BO Pode Começar Pequeno","Contexto","Rompimentos","Característica","12-18","Definição BO","0","10","","","Livro/Video/Arvore","","","Universal","Não precisa ser explosivo no início"
"Segunda Perna Comum Após BO","Contexto","Rompimentos","Estrutura","12-18","BO Forte","0","10","","","Livro/Video/Arvore","","","Universal","TBTL - 10 barras 2 pernas usual"
"Rompimentos de TR","Contexto","Rompimentos","Contexto","12-18","TR e BO","0","10","","","Livro/Video/Arvore","80%","Universal","Universal","BO de range - 80% falham"
"Teste de Rompimento","Contexto","Rompimentos","Comportamento","12-18","Definição BO","0","10","","","Livro/Video/Arvore","","","Universal","Pullback ao ponto do BO - normal e esperado"
"Falha BO - Retomada Tendência","Contexto","Falha BO","Resultados","12-18","Resultado BO Falha","0","10","","","Livro/Video/Arvore","","","Universal","Volta direção anterior"
"Falha BO - Reversão Completa","Contexto","Falha BO","Resultados","12-18","Resultado BO Falha","0","10","","","Livro/Video/Arvore","","","Universal","Inverte direção - MTR possível"
"BO como EG ou MG","Contexto","Rompimentos","Gaps","12-18","EG e MG","0","10","","","Livro/Video/Arvore","","","Universal","Após BO: exaustão (EG) ou projeção (MG)"
"BO Fraco = TR em Breve","Contexto","Rompimentos","Consequência","12-18","BO Fraco","0","10","","","Livro/Video/Arvore","","","Universal","Sem força = lateralidade próxima"
"BO Geralmente Segue Armadilha","Contexto","Rompimentos","Sequência","12-18","Armadilhas","0","10","","","Livro/Video/Arvore","","","Universal","Trap precede BO verdadeiro"
"Rompimento Tardio","Contexto","Rompimentos","Timing","12-18","Definição BO","0","10","","","Livro/Video/Arvore","","","Universal","Final de tendência - não entre tarde"
"Definição Leg (Perna)","Contexto","Legs e Swings","Estrutura","12-18","Estrutura Tendência","0","10","","","Livro/Video/Arvore","","","Universal","Movimento direcional entre dois pivots"
"Primeira Perna (Leg 1)","Contexto","Legs","Estrutura","12-18","Definição Leg","0","10","","","Livro/Video/Arvore","","","Universal","Primeiro impulso direcional"
"Segunda Perna (Leg 2)","Contexto","Legs","Estrutura","12-18","Primeira Perna","0","10","","","Livro/Video/Arvore","","","Universal","Geralmente igual a Leg 1 - Measured Move"
"Leg 1 = Leg 2 (Measured Move)","Contexto","Legs","Matemática","12-18","Segunda Perna","0","10","","","Livro/Video/Arvore","","","Universal","Projeção mais confiável do Price Action"
"Pivot Alto (Swing High)","Contexto","Pivots","Estrutura","12-18","Swing High","0","10","","","Livro/Video/Arvore","","","Universal","Topo de swing - S/R potencial"
"Pivot Baixo (Swing Low)","Contexto","Pivots","Estrutura","12-18","Swing Low","0","10","","","Livro/Video/Arvore","","","Universal","Fundo de swing - S/R potencial"
"Correção (Pullback)","Contexto","Correções","Estrutura","12-18","Estrutura Tendência","0","10","","","Livro/Video/Arvore","","","Universal","Retração temporária na tendência"
"Major High/Low","Contexto","Classificação Major","Pivots","12-18","Pivots","0","10","","","Livro/Video/Arvore","","","Universal","Pivots importantes - referência principal"
"Minor High/Low","Contexto","Classificação Minor","Pivots","12-18","Pivots","0","10","","","Livro/Video/Arvore","","","Universal","Pivots menores - referência secundária"
"Contagem H1/L1","Contexto","Contagem Legs","Ferramenta","08-11","Legs","0","10","","","Livro/Video/Arvore","","","Universal","Primeira máxima/mínima após correção"
"Contagem H2/L2","Contexto","Contagem Legs","Ferramenta","08-11","H1/L1","0","10","","","Livro/Video/Arvore","","","Universal","Segunda tentativa - traders contra saem"
"Contagem H3/L3","Contexto","Contagem Legs","Ferramenta","08-11","H2/L2","0","10","","","Livro/Video/Arvore","","","Universal","Terceira perna - pode formar cunha"
"Contagem H4/L4","Contexto","Contagem Legs","Ferramenta","08-11","H3/L3","0","10","","","Livro/Video/Arvore","","","Universal","Quarta perna - atenção provável exaustão"
"Tempos Gráficos Afetam Legs","Contexto","Legs","Perspectiva","12-18","Tempos Gráficos","0","10","","","Livro/Video/Arvore","","","Universal","HTF tem legs maiores - contexto muda"
"Correção Rasa (sinal de força)","Contexto","Tipos Correção","Avaliação","12-18","Correção","0","10","","","Livro/Video/Arvore","","","Universal","1-3 barras - não toca EMA - força máxima"
"Correção Profunda (sinal de fraqueza)","Contexto","Tipos Correção","Avaliação","12-18","Correção","0","10","","","Livro/Video/Arvore","","","Universal","50%+ - toca EMA - força diminuindo"
"Correção 50%","Contexto","Tipos Correção","Matemática","12-18","Correção","0","10","","","Livro/Video/Arvore","","","Universal","Metade do movimento - S/R matemático"
"Correção Sem Fim (vira TR)","Contexto","Tipos Correção","Transformação","12-18","Correção e TR","0","10","","","Livro/Video/Arvore","","","Universal","Perde momento e estabelece lateralidade"
"Correção Majoritária vs Minoritária","Contexto","Correções","Classificação","12-18","Major e Minor","0","10","","","Livro/Video/Arvore","","","Universal","Tamanho relativo ao contexto"
"Toda Correção É Bandeira Potencial","Contexto","Correções","Perspectiva","12-18","Correção","0","10","","","Livro/Video/Arvore","","","Universal","Pode continuar tendência após correção"
"Tipos de Pressão","Contexto","Pressão","Framework","08-11","Nenhum","0","10","","","Livro/Video/Arvore","","","Universal","Compra/Venda/Equilíbrio - psicologia do mercado"
"Pressão - Manifestação Visual","Contexto","Pressão","Leitura","08-11","Tipos de Pressão","0","10","","","Livro/Video/Arvore","","","Universal","Gap/Barras grandes/Sequência direcional"
"Compradores/Vendedores Fortes/Fracos","Contexto","Pressão","Avaliação","08-11","Tipos de Pressão","0","10","","","Livro/Video/Arvore","","","Universal","Força relativa dos participantes"
"Trapped Traders","Contexto","Pressão","Psicologia","08-11","Armadilhas","0","10","","","Livro/Video/Arvore","","","Universal","Traders presos na direção errada - força o mercado"
"Emboscados","Contexto","Pressão","Psicologia","08-11","Trapped Traders","0","10","","","Livro/Video/Arvore","","","Universal","Ambushed - presos contra a tendência"
"Traders Desapontados","Contexto","Pressão","Psicologia","08-11","Nenhum","0","10","","","Livro/Video/Arvore","","","Universal","Disappointed - perderam a tendência"
"Definição S/R","Contexto","Suporte e Resistência","Framework","19-29","Nenhum","0","10","","","Livro/Video/Arvore","","","Universal","Zonas de decisão - preço reage aqui"
"S/R Controlam Preço (não notícias)","Contexto","S/R","Princípio","19-29","Definição S/R","0","10","","","Livro/Video/Arvore","","","Universal","Notícias são pretexto - S/R é causa"
"Tipos de S/R","Contexto","S/R","Tipos","19-29","Definição S/R","0","10","","","Livro/Video/Arvore","","","Universal","Swing/MA/Números Redondos/Linha Canal"
"S/R de HTF Mais Importante","Contexto","S/R Origem","Hierarquia","19-29","HTF","0","10","","","Livro/Video/Arvore","","","Universal","Timeframe maior > menor sempre"
"S/R Testado vs Não Testado","Contexto","S/R Nível","Histórico","19-29","Definição S/R","0","10","","","Livro/Video/Arvore","","","Universal","Testado = confirmado; Não testado = mais forte"
"S/R Respeitado vs Violado","Contexto","S/R Reação","Resultado","19-29","Definição S/R","0","10","","","Livro/Video/Arvore","","","Universal","Hold = respeitado; Break = violado"
"Teste S/R - Sucesso/Falha","Contexto","S/R Teste","Resultado","19-29","Definição S/R","0","10","","","Livro/Video/Arvore","","","Universal","Hold ou break - define próxima fase"
"Segunda Tentativa em S/R","Contexto","S/R Teste","Padrão","19-29","Teste S/R","0","10","","","Livro/Video/Arvore","","","Universal","Teste duplo - mais confiável"
"Teste Tardio de S/R","Contexto","S/R Teste","Timing","43-46","Teste S/R","0","10","","","Livro/Video/Arvore","","","Universal","Tarde no dia - common pattern"
"Compradores Precisam de HL","Contexto","S/R","Requisito","12-18","Higher Low","0","10","","","Livro/Video/Arvore","","","Universal","Para continuar alta - HL é o sinal"
"Vendedores Precisam de LH","Contexto","S/R","Requisito","12-18","Lower High","0","10","","","Livro/Video/Arvore","","","Universal","Para continuar baixa - LH é o sinal"
"Clímax Sempre Termina em S/R","Contexto","S/R","Relação com Clímax","19-29","Clímax e S/R","0","10","","","Livro/Video/Arvore","","","Universal","Exaustão sempre em nível significativo"
"Movimentos Projetados (MM)","Contexto","MM","Matemática","19-29","Leg1=Leg2","0","10","","","Livro/Video/Arvore","","","Universal","Measured moves - ferramenta principal de alvo"
"MM - Perna 1 = Perna 2","Contexto","MM","Cálculo","19-29","Legs","0","10","","","Livro/Video/Arvore","","","Universal","Primeira perna projeta segunda"
"MM - Altura TR","Contexto","MM","Cálculo","19-29","TR","0","10","","","Livro/Video/Arvore","","","Universal","Altura do range como alvo do BO"
"MM - Altura BO","Contexto","MM","Cálculo","19-29","BO","0","10","","","Livro/Video/Arvore","","","Universal","Tamanho do breakout como próximo alvo"
"MM - Uso para Alvos","Contexto","MM","Aplicação","19-29","MM","0","10","","","Livro/Video/Arvore","","","Universal","Onde realizar parcial ou total"
"MM - Uso para Stops","Contexto","MM","Aplicação","19-29","MM","0","10","","","Livro/Video/Arvore","","","Universal","Catastrophe stop baseado em MM"
"Definição Barra de Sinal","Padrões","Barras de Sinal","Conceito","08-11","Barra de Sinal","0","10","","","Livro/Video/Arvore","","","Universal","Barra que precede e autoriza entrada"
"Qualidade de Sinal - Forte","Padrões","Barras de Sinal","Avaliação","08-11","Barra de Sinal","0","10","","","Livro/Video/Arvore","","","Universal","Corpo grande/fechamento extremo/pavio pequeno contrário"
"Qualidade de Sinal - Fraca","Padrões","Barras de Sinal","Avaliação","08-11","Barra de Sinal","0","10","","","Livro/Video/Arvore","","","Universal","Corpo pequeno/sombra grande/Doji - reduza posição"
"Sinais Ruins (evitar)","Padrões","Barras de Sinal","Avaliação","08-11","Qualidade Sinal","0","10","","","Livro/Video/Arvore","","","Universal","Contra contexto/Doji em TR/muito tarde"
"Confirmação - Primeiro Sinal","Padrões","Confirmação","Timing","08-11","Barra de Sinal","0","10","","","Livro/Video/Arvore","40-50%","Universal","Universal","Primeira tentativa - menor probabilidade"
"Confirmação - Segundo Sinal (melhor)","Padrões","Confirmação","Timing","08-11","Primeiro Sinal","0","10","","","Livro/Video/Arvore","60-70%","Universal","Universal","Contra desistiram - maior probabilidade"
"Confirmação - Terceiro Sinal","Padrões","Confirmação","Timing","08-11","Segundo Sinal","0","10","","","Livro/Video/Arvore","","","Universal","Pode ser exaustão ou cunha - cuidado"
"Sinal Com Tendência (melhor)","Padrões","Contexto Sinal","Qualidade","08-11","Tendência","0","10","","","Livro/Video/Arvore","60-80%","Universal","Universal","Probabilidade alta - favor da inércia"
"Sinal Contra Tendência","Padrões","Contexto Sinal","Qualidade","08-11","Tendência","0","10","","","Livro/Video/Arvore","40-50%","Universal","Universal","Precisa sinal muito forte - R:R maior"
"Sinal Em TR","Padrões","Contexto Sinal","Qualidade","08-11","TR","0","10","","","Livro/Video/Arvore","50%","Universal","Universal","BLSHS - extremos do range apenas"
"Definição Setup","Padrões","Setups","Conceito","08-11","Contexto + Sinal","0","10","","","Livro/Video/Arvore","","","Universal","Contexto + Barra Sinal = Setup"
"Setup Fraco (precisa mais confirmação)","Padrões","Setups","Avaliação","08-11","Definição Setup","0","10","","","Livro/Video/Arvore","","","Universal","Baixa probabilidade - reduza ou pule"
"Apostar Contra Setups Fracos","Padrões","Setups","Estratégia","08-11","Setup Fraco","0","10","","","Livro/Video/Arvore","","","Universal","Fade - contra direção do setup fraco"
"Contagem de Barras","Padrões","Contagem","Ferramenta","08-11","Nenhum","0","10","","","Livro/Video/Arvore","","","Universal","H1-H4 / L1-L4 - contar pernas"
"TBTL (Ten Bars Two Legs)","Padrões","Contagem","Regra","08-11","Contagem Barras","0","10","","","Livro/Video/Arvore","","","Universal","~10 barras 2 pernas após clímax antes novo setup"
"Reversões Consecutivas H4/L4","Padrões","Contagem","Padrão","08-11","H4/L4","0","10","","","Livro/Video/Arvore","","","Universal","Após 4 pernas - provável reversão ou TR"
"Bull Flag - Definição","Padrões","Bandeiras","Continuação","19-29","Tendência Alta","0","10","","","Livro/Video/Arvore","","","Universal","Correção em alta - espera nova perna"
"Topo Duplo como Bull Flag","Padrões","Bull Flag","Tipos","19-29","Bull Flag e Duplo","0","10","","","Livro/Video/Arvore","","","Universal","DT em correção de alta - sinal continua"
"Cunha como Bull Flag","Padrões","Bull Flag","Tipos","19-29","Bull Flag e Cunha","0","10","","","Livro/Video/Arvore","","","Universal","Wedge down em alta - 3 pernas baixa"
"Canal Baixa como Bull Flag","Padrões","Bull Flag","Tipos","19-29","Bull Flag e Canal","0","10","","","Livro/Video/Arvore","","","Universal","Bear channel em alta - bandeira clássica"
"Bear Flag - Definição","Padrões","Bandeiras","Continuação","19-29","Tendência Baixa","0","10","","","Livro/Video/Arvore","","","Universal","Correção em baixa - espera nova perna"
"Fundo Duplo como Bear Flag","Padrões","Bear Flag","Tipos","19-29","Bear Flag e Duplo","0","10","","","Livro/Video/Arvore","","","Universal","DB em correção de baixa"
"Cunha como Bear Flag","Padrões","Bear Flag","Tipos","19-29","Bear Flag e Cunha","0","10","","","Livro/Video/Arvore","","","Universal","Wedge up em baixa - 3 pernas alta"
"Canal Alta como Bear Flag","Padrões","Bear Flag","Tipos","19-29","Bear Flag e Canal","0","10","","","Livro/Video/Arvore","","","Universal","Bull channel em baixa"
"Bandeiras Finais - Definição","Padrões","Bandeiras","Especial","19-29","Bandeiras","0","10","","","Livro/Video/Arvore","","","Universal","Última bandeira antes da TR - operação mais rentável"
"Bandeiras Finais - Rasas","Padrões","Bandeiras Finais","Características","19-29","Bandeiras Finais","0","10","","","Livro/Video/Arvore","","","Universal","Correção pequena < 10 barras"
"Bandeiras Finais - Com ii","Padrões","Bandeiras Finais","Características","19-29","Bandeiras Finais e ii","0","10","","","Livro/Video/Arvore","","","Universal","Inside bars dentro da bandeira final"
"Bandeiras Prematuras","Padrões","Bandeiras","Armadilha","19-29","Bandeiras","0","10","","","Livro/Video/Arvore","","","Universal","Muito cedo - não é o fim da tendência"
"Correções como Bandeiras","Padrões","Continuação","Perspectiva","19-29","Correção","0","10","","","Livro/Video/Arvore","","","Universal","Toda correção é bandeira potencial"
"Triângulos - Ascendente","Padrões","Triângulos","Tipos","19-29","Nenhum","0","10","","","Livro/Video/Arvore","","","Universal","Topos iguais fundos ascendentes - viés alta"
"Triângulos - Descendente","Padrões","Triângulos","Tipos","19-29","Nenhum","0","10","","","Livro/Video/Arvore","","","Universal","Fundos iguais topos descendentes - viés baixa"
"Triângulos - Simétrico","Padrões","Triângulos","Tipos","19-29","Nenhum","0","10","","","Livro/Video/Arvore","","","Universal","Ambos convergem - indefinido"
"Triângulos - Expandido","Padrões","Triângulos","Tipos","19-29","Nenhum","0","10","","","Livro/Video/Arvore","","","Universal","Expanding - volatilidade crescente"
"Triângulos - Reversão ou Continuação","Padrões","Triângulos","Natureza","19-29","Triângulos","0","10","","","Livro/Video/Arvore","","","Universal","Ambos possíveis - aguarde breakout"
"Triângulos - Raramente Perfeitos","Padrões","Triângulos","Natureza","19-29","Triângulos","0","10","","","Livro/Video/Arvore","","","Universal","Aceitar imperfeição nos padrões"
"MTR - Definição","Padrões","Reversão Majoritária","Framework","19-29","Nenhum","0","10","","","Livro/Video/Arvore","40-50%","Universal","Universal","Major Trend Reversal - mudança de Always In"
"MTR - Padrão Mais Importante","Padrões","MTR","Relevância","19-29","MTR Definição","0","10","","","Livro/Video/Arvore","","","Universal","Setup principal de reversão - mais difícil"
"MTR - Pré-Requisito 1: Quebra LT","Padrões","MTR","Pré-Requisitos","19-29","MTR Definição","0","10","","","Livro/Video/Arvore","","","Universal","Linha tendência rompida com convicção (corpo)"
"MTR - Pré-Requisito 2: Teste do Extremo","Padrões","MTR","Pré-Requisitos","19-29","MTR Definição","0","10","","","Livro/Video/Arvore","","","Universal","Volta testar topo/fundo anterior"
"MTR - Pré-Requisito 3: Falha Nova Extrema","Padrões","MTR","Pré-Requisitos","19-29","MTR Definição","0","10","","","Livro/Video/Arvore","","","Universal","Faz LH (topo) ou HL (fundo) - sinal entrada"
"MTR - Pré-Requisito 4: MAG (opcional)","Padrões","MTR","Pré-Requisitos","19-29","MTR e MAG","0","10","","","Livro/Video/Arvore","","","Universal","Gap da MA comum em reversões fortes"
"MTR - LH para Topos","Padrões","MTR Tipos","Identificação","19-29","Lower High","0","10","","","Livro/Video/Arvore","","","Universal","Lower High em topo = sinal de entrada venda"
"MTR - HL para Fundos","Padrões","MTR Tipos","Identificação","19-29","Higher Low","0","10","","","Livro/Video/Arvore","","","Universal","Higher Low em fundo = sinal de entrada compra"
"MTR - Duplo Topo/Fundo (maioria)","Padrões","MTR Componentes","Estrutura","19-29","Duplos","0","10","","","Livro/Video/Arvore","","","Universal","Maioria dos MTR têm topo/fundo duplo"
"MTR - Wedge Altista/Baixista","Padrões","MTR Componentes","Padrões","19-29","Cunha","0","10","","","Livro/Video/Arvore","","","Universal","3 pushes precedem MTR"
"MTR - Head and Shoulders","Padrões","MTR Componentes","Padrões","19-29","H&S","0","10","","","Livro/Video/Arvore","","","Universal","OHO é forma de MTR"
"MTR - Bandeira Final","Padrões","MTR Componentes","Padrões","19-29","Bandeiras Finais","0","10","","","Livro/Video/Arvore","","","Universal","Última bandeira antes reverter"
"MTR - Sucesso (40-50%)","Padrões","MTR","Estatística","19-29","MTR Definição","0","10","","","Livro/Video/Arvore","40-50%","Universal","Universal","Inverte tendência - precisa R:R 1:2 mínimo"
"MTR - Falha (50-60%)","Padrões","MTR","Estatística","19-29","Regra dos 80%","0","10","","","Livro/Video/Arvore","50-60%","Universal","Universal","Maioria das tentativas de MTR falham"
"MTR na Abertura","Padrões","MTR","Timing","43-46","MTR e Abertura","0","10","","","Livro/Video/Arvore","","","Universal","Comum na primeira hora do dia"
"MTR - Entrada Antecipada LTF","Padrões","MTR","Execução","37-42","MTR e LTF","0","10","","","Livro/Video/Arvore","","","Universal","Entrar antes de completar no CTF"
"Reversão Minoritária - Definição","Padrões","Reversão Minoritária","Framework","19-29","MTR","0","10","","","Livro/Video/Arvore","","","Universal","Minor trend reversal - correção profunda"
"Minoritária - Vencedor 40%","Padrões","Reversão Minoritária","Estatística","19-29","Probabilidade Baixa","0","10","","","Livro/Video/Arvore","40%","Universal","Universal","Baixa probabilidade - não a meta principal"
"Reversões Comuns Mas Falham","Padrões","Reversão Minoritária","Estatística","19-29","Regra dos 80%","0","10","","","Livro/Video/Arvore","","","Universal","Maioria não resulta em reversão major"
"Iniciantes Adoram Reversões (e perdem)","Padrões","Reversão Minoritária","Psicologia","19-29","Reversão Minoritária","0","10","","","Livro/Video/Arvore","","","Universal","Erro mais comum - contra tendência"
"Cunha - Definição","Padrões","Reversão - Cunha","Framework","19-29","Canal Convergente","0","10","","","Livro/Video/Arvore","","","Universal","Wedge - 3 pushes com linhas convergentes"
"Cunha - 3 Pushes","Padrões","Cunha","Estrutura","19-29","Definição Cunha","0","10","","","Livro/Video/Arvore","","","Universal","Três empurrões - cada um mais fraco"
"Como Traçar Cunha","Padrões","Cunha","Técnica","19-29","Definição Cunha","0","10","","","Livro/Video/Arvore","","","Universal","Conectar 3 topos e fundos das correções"
"Cunha Clássica","Padrões","Tipos Cunha","Tipos","19-29","Definição Cunha","0","10","","","Livro/Video/Arvore","","","Universal","Padrão limpo com 3 pushes claros"
"Cunha Parabólica (climática)","Padrões","Tipos Cunha","Tipos","19-29","Definição Cunha e Clímax","0","10","","","Livro/Video/Arvore","","","Universal","Push 3 climático = reversão mais forte"
"Cunha Nested (aninhada)","Padrões","Tipos Cunha","Tipos","19-29","Definição Cunha","0","10","","","Livro/Video/Arvore","","","Universal","Cunha dentro de cunha - exaustão múltipla"
"Cunha Boa (em tendência fraca)","Padrões","Qualidade Cunha","Avaliação","19-29","Cunha e Tendência Fraca","0","10","","","Livro/Video/Arvore","","","Universal","Push 3 com overshoot - provável reverter"
"Cunha Ruim (em tendência forte)","Padrões","Qualidade Cunha","Avaliação","19-29","Cunha e Tendência Forte","0","10","","","Livro/Video/Arvore","","","Universal","Sem sinais exaustão - continua"
"Cunha - Overshoot","Padrões","Cunha","Variações","19-29","Definição Cunha","0","10","","","Livro/Video/Arvore","","","Universal","Rompe linha antes de reverter - exaustão"
"Cunha - Undershoot","Padrões","Cunha","Variações","19-29","Definição Cunha","0","10","","","Livro/Video/Arvore","","","Universal","Não atinge linha - força diminuindo antes"
"Cunhas Raramente Perfeitas","Padrões","Cunha","Natureza","19-29","Definição Cunha","0","10","","","Livro/Video/Arvore","","","Universal","Aceitar imperfeição - contexto > padrão"
"Tendências Fortes Têm Cunhas Ruins","Padrões","Cunha","Contexto","19-29","Tendência Forte","0","10","","","Livro/Video/Arvore","","","Universal","Cunha em forte = pausa não reversão"
"Falha de Cunha (faz Push 4)","Padrões","Cunha","Falha","19-29","Definição Cunha","0","10","","","Livro/Video/Arvore","","","Universal","Quarta perna = não é cunha = saia da posição"
"Cunha Altista - Entrada e Stop","Padrões","Cunha","Execução","19-29","Cunha","0","10","","","Livro/Video/Arvore","","Universal","Universal","Entrada: stop abaixo barra reversão Push3 | Stop: 1-2 ticks acima Push3 | Alvo1: início cunha | Alvo2: MM altura"
"Cunha Baixista - Entrada e Stop","Padrões","Cunha","Execução","19-29","Cunha","0","10","","","Livro/Video/Arvore","","Universal","Universal","Entrada: stop acima barra reversão Push3 | Stop: 1-2 ticks abaixo Push3 | Alvo1: início cunha | Alvo2: MM altura"
"Double Top - Definição","Padrões","Reversão - Duplos","Framework","19-29","Swing High","0","10","","","Livro/Video/Arvore","50-60%","Universal","Universal","2 topos similares - sinal venda"
"Double Bottom - Definição","Padrões","Reversão - Duplos","Framework","19-29","Swing Low","0","10","","","Livro/Video/Arvore","50-60%","Universal","Universal","2 fundos similares - sinal compra"
"Duplos - Por Que Funcionam","Padrões","Duplos","Lógica","19-29","Definição Duplos","0","10","","","Livro/Video/Arvore","","","Universal","Trapped traders - segunda falha confirma direção"
"Maioria Reversões São Duplos","Padrões","Duplos","Estatística","19-29","MTR","0","10","","","Livro/Video/Arvore","","","Universal","Duplos são o padrão de reversão mais comum"
"Maioria Topos São Duplos","Padrões","Duplos","Estatística","19-29","Double Top","0","10","","","Livro/Video/Arvore","","","Universal","Natureza dos topos - sempre testar máxima"
"Duplo Topo Perfeito (LH)","Padrões","Duplos","Qualidade","19-29","Double Top","0","10","","","Livro/Video/Arvore","50-60%","Universal","Universal","T2 não chega em T1 (LH óbvio) | Entrada: stop abaixo barra reversão T2 | Stop: acima T2 | Prob 50-60%"
"Duplo Topo Comum (igual ou excede)","Padrões","Duplos","Qualidade","19-29","Double Top","0","10","","","Livro/Video/Arvore","40-50%","Universal","Universal","T2 atinge T1 - aguarde romper vale entre topos"
"Falha de Duplo (muito comum)","Padrões","Duplos","Falha","19-29","Definição Duplos","0","10","","","Livro/Video/Arvore","","","Universal","T2 rompe T1 com força = era H2 - entre a favor"
"Spring/Bear Trap (duplo fundo esp.)","Padrões","Duplos","Variação","19-29","Double Bottom","0","10","","","Livro/Video/Arvore","","","Universal","F2 excede F1 levemente depois retorna forte"
"Bandeiras em Forma de Duplo","Padrões","Duplos","Contexto","19-29","Duplos e Bandeiras","0","10","","","Livro/Video/Arvore","","","Universal","Correção como duplo topo/fundo"
"Duplos - Movimento Projetado","Padrões","Duplos","Matemática","19-29","Duplos e MM","0","10","","","Livro/Video/Arvore","","","Universal","Distância entre topos projetada para baixo"
